feature_current_year,feature_model_column
RE_TE,RE_TE_lag1
RE_TA,RE_TA_lag1
TE_TA,TE_TA_lag1
Size,Size_lag1
Log_MarketCap,Log_MarketCap_lag1
Sales_Growth,Sales_Growth_lag1
Asset_Growth,Asset_Growth_lag1
Listing_Age,Listing_Age_lag1
Market_to_Book,Market_to_Book_lag1
CapEx_to_Assets,CapEx_to_Assets_lag1
RD_assets,RD_assets_lag1
Price_to_Sales,Price_to_Sales_lag1
ROA,ROA_lag1
ROE,ROE_lag1
OpCF_to_Assets,OpCF_to_Assets_lag1
ORA,ORA_lag1
Profit_Margin,Profit_Margin_lag1
Accruals,Accruals_lag1
Cash_to_Assets,Cash_to_Assets_lag1
FCF_to_Assets,FCF_to_Assets_lag1
Repurchase_to_Assets,Repurchase_to_Assets_lag1
Goodwill_to_Assets,Goodwill_to_Assets_lag1
Leverage,Leverage_lag1
LTDA,LTDA_lag1
Current_Ratio,Current_Ratio_lag1
Earnings_Volatility,Earnings_Volatility_lag1
Interest_Coverage,Interest_Coverage_lag1
FAT,FAT_lag1
LCTAT,LCTAT_lag1
Labor_Intensity,Labor_Intensity_lag1
GAAP_ETR,GAAP_ETR_lag1
Cash_ETR,Cash_ETR_lag1
Share_Turnover,Share_Turnover_lag1
DIVPREM,DIVPREM_lag1
